Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8
Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample)
01/29/2020 02:19:22 pm,36.00,43.000,01/29/2020 02:20:48 pm,36.00,27.000,01/29/2020 02:24:38 pm,36.00,45.000,01/29/2020 02:25:40 pm,36.00,51.000,01/29/2020 02:30:52 pm,72.00,66.000,01/29/2020 02:33:39 pm,72.00,77.000,01/29/2020 02:35:48 pm,72.00,71.000,01/29/2020 02:47:44 pm,180.00,333.000
01/29/2020 02:19:23 pm,37.00,42.000,01/29/2020 02:20:49 pm,37.00,43.000,01/29/2020 02:24:39 pm,37.00,52.000,01/29/2020 02:25:41 pm,37.00,44.000,01/29/2020 02:30:54 pm,74.00,89.000,01/29/2020 02:33:41 pm,74.00,90.000,01/29/2020 02:35:50 pm,74.00,90.000,01/29/2020 02:47:49 pm,185.00,316.000
01/29/2020 02:19:24 pm,38.00,54.000,01/29/2020 02:20:50 pm,38.00,41.000,01/29/2020 02:24:40 pm,38.00,48.000,01/29/2020 02:25:42 pm,38.00,46.000,01/29/2020 02:30:56 pm,76.00,82.000,01/29/2020 02:33:43 pm,76.00,91.000,01/29/2020 02:35:52 pm,76.00,80.000,01/29/2020 02:47:54 pm,190.00,308.000
01/29/2020 02:19:25 pm,39.00,41.000,01/29/2020 02:20:51 pm,39.00,34.000,01/29/2020 02:24:41 pm,39.00,40.000,01/29/2020 02:25:43 pm,39.00,57.000,01/29/2020 02:30:58 pm,78.00,81.000,01/29/2020 02:33:45 pm,78.00,76.000,01/29/2020 02:35:54 pm,78.00,95.000,01/29/2020 02:47:59 pm,195.00,298.000
01/29/2020 02:19:26 pm,40.00,47.000,01/29/2020 02:20:52 pm,40.00,41.000,01/29/2020 02:24:42 pm,40.00,51.000,01/29/2020 02:25:44 pm,40.00,54.000,01/29/2020 02:31:00 pm,80.00,71.000,01/29/2020 02:33:47 pm,80.00,84.000,01/29/2020 02:35:56 pm,80.00,86.000,01/29/2020 02:48:04 pm,200.00,327.000
01/29/2020 02:19:27 pm,41.00,37.000,01/29/2020 02:20:53 pm,41.00,49.000,01/29/2020 02:24:43 pm,41.00,37.000,01/29/2020 02:25:45 pm,41.00,48.000,01/29/2020 02:31:02 pm,82.00,89.000,01/29/2020 02:33:49 pm,82.00,94.000,01/29/2020 02:35:58 pm,82.00,84.000,01/29/2020 02:48:09 pm,205.00,303.000
01/29/2020 02:19:28 pm,42.00,52.000,01/29/2020 02:20:54 pm,42.00,37.000,01/29/2020 02:24:44 pm,42.00,45.000,01/29/2020 02:25:46 pm,42.00,44.000,01/29/2020 02:31:04 pm,84.00,93.000,01/29/2020 02:33:51 pm,84.00,83.000,01/29/2020 02:36:00 pm,84.00,79.000,01/29/2020 02:48:14 pm,210.00,326.000
01/29/2020 02:19:29 pm,43.00,46.000,01/29/2020 02:20:55 pm,43.00,49.000,01/29/2020 02:24:45 pm,43.00,40.000,01/29/2020 02:25:47 pm,43.00,42.000,01/29/2020 02:31:06 pm,86.00,116.000,01/29/2020 02:33:53 pm,86.00,89.000,01/29/2020 02:36:02 pm,86.00,90.000,01/29/2020 02:48:19 pm,215.00,316.000
01/29/2020 02:19:30 pm,44.00,50.000,01/29/2020 02:20:56 pm,44.00,51.000,01/29/2020 02:24:46 pm,44.00,42.000,01/29/2020 02:25:48 pm,44.00,60.000,01/29/2020 02:31:08 pm,88.00,80.000,01/29/2020 02:33:55 pm,88.00,93.000,01/29/2020 02:36:04 pm,88.00,79.000,01/29/2020 02:48:24 pm,220.00,300.000
01/29/2020 02:19:31 pm,45.00,33.000,01/29/2020 02:20:57 pm,45.00,39.000,01/29/2020 02:24:47 pm,45.00,38.000,01/29/2020 02:25:49 pm,45.00,49.000,01/29/2020 02:31:10 pm,90.00,80.000,01/29/2020 02:33:57 pm,90.00,90.000,01/29/2020 02:36:06 pm,90.00,87.000,01/29/2020 02:48:29 pm,225.00,333.000
